tech_id,tech_name,description,examples
T1213,Data from Information Repositories,"Adversaries may leverage information repositories to mine valuable information. Information repositories are tools that allow for storage of information, typically to facilitate collaboration or information sharing between users, and can store a wide variety of data that may aid adversaries in further objectives, such as Credential Access, Lateral Movement, or Defense Evasion, or direct access to the target information. Adversaries may also abuse external sharing features to share sensitive documents with recipients outside of the organization (i.e., Transfer Data to Cloud Account. The following is a brief list of example information that may hold potential value to an adversary and may also be found on an information repository: * Policies, procedures, and standards * Physical / logical network diagrams * System architecture diagrams * Technical system documentation * Testing / development credentials (i.e., Unsecured Credentials * Work / project schedules * Source code snippets * Links to network shares and other internal resources * Contact or other sensitive information about business partners and customers, including personally identifiable information (PII) Information stored in a repository may vary based on the specific instance or environment. Specific common information repositories include the following: * Storage services such as IaaS databases, enterprise databases, and more specialized platforms such as customer relationship management (CRM) databases * Collaboration platforms such as SharePoint, Confluence, and code repositories * Messaging platforms such as Slack and Microsoft Teams In some cases, information repositories have been improperly secured, typically by unintentionally allowing for overly-broad access by all users or even public access to unauthenticated users. This is particularly common with cloud-native or cloud-hosted services, such as AWS Relational Database Service (RDS), Redis, or ElasticSearch.","['Raccoon Stealer gathers information from repositories associated with cryptocurrency wallets and the Telegram messaging service.', 'FIN6 has collected schemas and user accounts from systems running SQL Server.', 'Sandworm Team exfiltrates data of interest from enterprise databases using Adminer.', ""Turla has used a custom .NET tool to collect documents from an organization's internal central database."", 'APT28 has collected files from various information repositories.', 'MgBot includes a module capable of stealing content from the Tencent QQ database storing user QQ message history on infected devices.', 'Leviathan gathered information from SQL servers and Building Management System (BMS) servers during Leviathan Australian Intrusions.', ""During the SolarWinds Compromise, APT29 accessed victims' internal knowledge repositories (wikis) to view sensitive corporate information on products, services, and internal business operations."", 'APT41 DUST collected data from victim Oracle databases using SQLULDR2.', 'Sea Turtle used the tool Adminer to remotely logon to the MySQL service of victim machines.', 'Troll Stealer gathers information from the Government Public Key Infrastructure (GPKI) folder, associated with South Korean government public key infrastructure, on infected systems.', 'P.A.S. Webshell has the ability to list and extract data from SQL databases.']"
T1020,Automated Exfiltration,"Adversaries may exfiltrate data, such as sensitive documents, through the use of automated processing after being gathered during Collection. When automated exfiltration is used, other exfiltration techniques likely apply as well to transfer the information out of the network, such as Exfiltration Over C2 Channel and Exfiltration Over Alternative Protocol.","['OutSteel can automatically upload collected files to its C2 server.', 'StrongPity can automatically exfiltrate collected documents to the C2 server.', 'Attor has a file uploader plugin that automatically exfiltrates the collected data and log files to the C2 server.', 'Gamaredon Group has used modules that automatically upload gathered documents to the C2 server.', 'LightNeuron can be configured to automatically exfiltrate files under a specified directory.', ""During Frankenstein, the threat actors collected information via Empire, which was automatically sent back to the adversary's C2."", 'USBStealer automatically exfiltrates collected files via removable media when an infected device connects to an air-gapped victim machine after initially being connected to an internet-enabled victim machine.', 'CosmicDuke exfiltrates collected files automatically over FTP to remote servers.', 'Solar can automatically exfitrate files from compromised systems.', 'When a document is found matching one of the extensions in the configuration, TINYTYPHON uploads it to the C2 server.', 'Hannotog can upload encyrpted data for exfiltration.', ""Empire has the ability to automatically send collected data back to the threat actors' C2."", 'ArcaneDoor included scripted exfiltration of collected data.', 'StrelaStealer automatically sends gathered email credentials following collection to command and control servers via HTTP POST.', 'Raccoon Stealer will automatically collect and exfiltrate data identified in received configuration files from command and control nodes.', 'TajMahal has the ability to manage an automated queue of egress files and commands sent to its C2.', 'Doki has used a script that gathers information from a hardcoded list of IP addresses and uploads to an Ngrok URL.', 'Ke3chang has performed frequent and scheduled data exfiltration from compromised networks.', 'If credentials are not collected for two weeks, Ebury encrypts the credentials using a public key and sends them via UDP to an IP address located in the DNS TXT record.', 'Rover automatically searches for files on local drives based on a predefined list of file extensions and sends them to the command and control server every 60 minutes. Rover also automatically sends keylogger files and screenshots to the C2 server on a regular timeframe.', 'Sidewinder has configured tools to automatically send collected files to attacker controlled servers.', 'Tropic Trooper has used a copy function to automatically exfiltrate sensitive data from air-gapped systems using USB storage.', 'ShimRatReporter sent collected system and network information compiled into a report to an adversary-controlled C2.', 'Machete’s collected files are exfiltrated automatically to remote servers.', 'Crutch has automatically exfiltrated stolen files to Dropbox.', 'Peppy has the ability to automatically exfiltrate files and keylogs.', 'RedCurl has used batch scripts to exfiltrate data.']"
T1201,Password Policy Discovery,"Adversaries may attempt to access detailed information about the password policy used within an enterprise network or cloud environment. Password policies are a way to enforce complex passwords that are difficult to guess or crack through Brute Force. This information may help the adversary to create a list of common passwords and launch dictionary and/or brute force attacks which adheres to the policy (e.g. if the minimum password length should be 8, then not trying passwords such as 'pass123'; not checking for more than 3-4 passwords per account if the lockout is set to 6 as to not lock out accounts). Password policies can be set and discovered on Windows, Linux, and macOS systems via various command shell utilities such as net accounts (/domain), Get-ADDefaultDomainPasswordPolicy, chage -l , cat /etc/pam.d/common-password, and pwpolicy getaccountpolicies . Adversaries may also leverage a Network Device CLI on network devices to discover password policy information (e.g. show aaa, show aaa common-criteria policy all). Password policies can be discovered in cloud environments using available APIs such as GetAccountPasswordPolicy in AWS .","['PoshC2 can use Get-PassPol to enumerate the domain password policy.', 'Chimera has used the NtdsAudit utility to collect information related to accounts and passwords.', 'During Operation CuckooBees, the threat actors used the `net accounts` command as part of their advanced reconnaissance.', 'Turla has used net accounts and net accounts /domain to acquire password policy information.', 'OilRig has used net.exe in a script with net accounts /domain to find the password policy of a domain.', 'Kwampirs collects password policy information with the command net accounts.', 'The net accounts and net accounts /domain commands with Net can be used to obtain password policy information.', 'CrackMapExec can discover the password policies applied to the target system.']"
T1049,System Network Connections Discovery,"Adversaries may attempt to get a listing of network connections to or from the compromised system they are currently accessing or from remote systems by querying for information over the network. An adversary who gains access to a system that is part of a cloud-based environment may map out Virtual Private Clouds or Virtual Networks in order to determine what systems and services are connected. The actions performed are likely the same types of discovery techniques depending on the operating system, but the resulting information may include details about the networked cloud environment relevant to the adversary's goals. Cloud providers may have different ways in which their virtual networks operate. Similarly, adversaries who gain access to network devices may also perform similar discovery activities to gather information about connected systems and services. Utilities and commands that acquire this information include netstat, ""net use,"" and ""net session"" with Net. In Mac and Linux, netstat and lsof can be used to list current connections. who -a and w can be used to show which users are currently logged in, similar to ""net session"". Additionally, built-in features native to network devices and Network Device CLI may be used (e.g. show ip sockets, show tcp brief). On ESXi servers, the command `esxi network ip connection list` can be used to list active network connections.","['Volgmer can gather information about TCP connection state.', 'Once inside a Virtual Private Cloud, Pacu can attempt to identify DirectConnect, VPN, or VPC Peering.', 'Commands such as net use and net session can be used in Net to gather information about network connections from a particular host.', 'Epic uses the net use, net session, and netstat commands to gather information on network connections.', 'RedLeaves can enumerate drives and Remote Desktop sessions.', ""Cuba can use the function GetIpNetTable to recover the last connections to the victim's machine."", ""Andariel has used the netstat -naop tcp command to display TCP connections on a victim's machine."", 'APT1 used the net use command to get a listing on network connections.', 'FIN13 has used `netstat` and other net commands for network reconnaissance efforts.', 'Carbon uses the netstat -r and netstat -an commands.', 'QakBot can use netstat to enumerate current network connections.', 'During Operation CuckooBees, the threat actors used the `net session`, `net use`, and `netstat` commands as part of their advanced reconnaissance.', 'The discovery modules used with Duqu can collect information on network connections.', 'Dtrack can collect network and active connection information.', 'Poseidon Group obtains and saves information about victim network interfaces and addresses.', 'jRAT can list network connections.', 'Sibot has retrieved a GUID associated with a present LAN connection on a compromised machine.', 'Zebrocy uses netstat -aon to gather network connection information.', 'Aria-body has the ability to gather TCP and UDP table status listings.', 'Conti can enumerate routine network connections from a compromised host.', 'During FunnyDream, the threat actors used netstat to discover network connections on remote systems.', 'POWRUNER may collect active network connections by running netstat -an on a victim.', 'Velvet Ant has enumerated existing network connections on victim devices.', 'PoshC2 contains an implementation of netstat to enumerate TCP and UDP connections.', 'Ramsay can use netstat to enumerate network connections.', 'NETWIRE can capture session logon details from a compromised host.', 'CharmPower can use `netsh wlan show profiles` to list specific Wi-Fi profile details.', 'Lotus Blossom has used commands such as `netstat` to identify system network connections.', 'Lizar has a plugin to retrieve information about all active network sessions on the infected server.', 'Chimera has used netstat -ano | findstr EST to discover network connections.', ""Sandworm Team had gathered user, IP address, and server data related to RDP sessions on a compromised host. It has also accessed network diagram files useful for understanding how a host's network was configured."", 'Earth Lusca employed a PowerShell script called RDPConnectionParser to read and filter the Windows event log “Microsoft-Windows-TerminalServices-RDPClient/Operational” (Event ID 1024) to obtain network information from RDP connections. Earth Lusca has also used netstat from a compromised system to obtain network connection information.', 'ShimRatReporter used the Windows function GetExtendedUdpTable to detect connected UDP endpoints.', 'APT41 has enumerated IP addresses of network resources and used the netstat command as part of network reconnaissance. The group has also used a malware variant, HIGHNOON, to enumerate active RDP sessions.', 'Ke3chang performs local network connection discovery using netstat.', 'Empire can enumerate the current network connections of a host.', 'Magic Hound has used quser.exe to identify existing RDP connections.', 'Tropic Trooper has tested if the localhost network is available and other connection capability on an infected system using command scripts.', 'BackdoorDiplomacy has used NetCat and PortQry to enumerate network connections and display the status of related TCP and UDP ports.', 'FRP can use a dashboard and U/I to display the status of connections from the FRP client and server.', 'After loading the keyword and phone data files, MESSAGETAP begins monitoring all network connections to and from the victim server.', 'Flagpro has been used to execute netstat -ano on a compromised host.', 'RATANKBA uses netstat -ano to search for specific IP address ranges.', 'APT3 has a tool that can enumerate current network connections.', 'Kwampirs collects a list of active and listening connections by using the command netstat -nao as well as a list of available network mappings with net use.', 'HEXANE has used netstat to monitor connections to specific ports.', 'admin@338 actors used the following command following exploitation of a machine with LOWBALL malware to display network connections: netstat -ano >> %temp%\\download', 'SLOTHFULMEDIA can enumerate open ports on a victim machine.', 'OSInfo enumerates the current network connections similar to net use .', 'Volt Typhoon has used `netstat -ano` on compromised hosts to enumerate network connections.', 'nbtstat can be used to discover current NetBIOS sessions.', 'BADHATCH can execute `netstat.exe -f` on a compromised machine.', 'KOPILUWAK can use netstat, Arp, and Net to discover current TCP connections.', 'Cobalt Strike can produce a sessions report from compromised hosts.', 'GravityRAT uses the netstat command to find open ports on the victim’s machine.', 'Comnie executes the netstat -ano command.', 'Pupy has a built-in utility command for netstat, can do net session through PowerView, and has an interactive shell which can be used to discover additional information.', 'USBferry can use netstat and nbtstat to detect active network connections.', 'Maze has used the ""WNetOpenEnumW"", ""WNetEnumResourceW”, “WNetCloseEnum” and “WNetAddConnection2W” functions to enumerate the network resources on the infected machine.', 'SpeakUp uses the arp -a command.', 'netstat can be used to enumerate local network connections, including active TCP connections and other network statistics.', 'SHOTPUT uses netstat to list TCP connection status.', 'Sardonic has the ability to execute the `netstat` command.', 'Torisma can use `WTSEnumerateSessionsW` to monitor remote desktop connections.', 'TeamTNT has run netstat -anp to search for rival malware connections. TeamTNT has also used `libprocesshider` to modify /etc/ld.so.preload.', 'Egregor can enumerate all connected drives.', 'LunarWeb can enumerate system network connections.', 'Babuk can use “WNetOpenEnumW” and “WNetEnumResourceW” to enumerate files in network resources for encryption.', 'Remsec can obtain a list of active connections and open ports.', 'During Operation Wocao, threat actors collected a list of open connections on the infected system using `netstat` and checks whether it has an internet connection.', 'APT38 installed a port monitoring tool, MAPMAKER, to print the active TCP connections on the local system.', 'Mafalda can use the GetExtendedTcpTable function to retrieve information about established TCP connections.', 'Lucifer can identify the IP and port numbers for all remote connections from the compromised host.', 'Turla surveys a system upon check-in to discover active local network connections using the netstat -an, net use, net file, and net session commands. Turla RPC backdoors have also enumerated the IPv4 TCP connection table via the GetTcpTable2 API call.', 'Okrum was seen using NetSess to discover NetBIOS sessions.', 'MuddyWater has used a PowerShell backdoor to check for Skype connections on the target machine.', 'PlugX has a module for enumerating TCP and UDP network connections and associated processes using the netstat command.', 'CrackMapExec can discover active sessions for a targeted system.', 'BlackEnergy has gathered information about local network connections using netstat.', 'ToddyCat has used `netstat -anop tcp` to discover TCP connections to compromised hosts.', 'Sykipot may use netstat -ano to display active network connections.', 'INC Ransom has used RDP to test network connections.', ""APT32 used the netstat -anpo tcp command to display TCP connections on the victim's machine."", ""KONNI has used net session on the victim's machine."", 'OilRig has used netstat -an on a victim to get a listing of network connections.', 'Waterbear can use API hooks on `GetExtendedTcpTable` to retrieve a table containing a list of TCP endpoints available to the application.', 'Trojan.Karagany can use netstat to collect a list of network connections.', 'Mustang Panda has used netstat -ano to determine network connection information.', 'Sliver can collect network connection information.', 'Machete uses the netsh wlan show networks mode=bssid and netsh wlan show interfaces commands to list all nearby WiFi networks and connected interfaces.', 'Lazarus Group has used net use to identify and establish a network connection with a remote host.', 'PyDCrypt has used netsh to find RPC connections on remote machines.', 'menuPass has used net use to conduct connectivity checks to machines.', 'APT5 has used the BLOODMINE utility to collect data on web requests from Pulse Secure Connect logs.', 'Threat Group-3390 has used `net use` and `netstat` to conduct internal discovery of systems. The group has also used `quser.exe` to identify existing RDP sessions on a victim.', 'GALLIUM used netstat -oan to obtain information about the victim network connections.']"
T1185,Browser Session Hijacking,"Adversaries may take advantage of security vulnerabilities and inherent functionality in browser software to change content, modify user-behaviors, and intercept information as part of various browser session hijacking techniques. A specific example is when an adversary injects software into a browser that allows them to inherit cookies, HTTP sessions, and SSL client certificates of a user then use the browser as a way to pivot into an authenticated intranet. Executing browser-based behaviors such as pivoting may require specific process permissions, such as SeDebugPrivilege and/or high-integrity/administrator rights. Another example involves pivoting browser traffic from the adversary's browser through the user's browser by setting up a proxy which will redirect web traffic. This does not alter the user's traffic in any way, and the proxy connection can be severed as soon as the browser is closed. The adversary assumes the security context of whichever browser process the proxy is injected into. Browsers typically create a new process for each tab that is opened and permissions and certificates are separated accordingly. With these permissions, an adversary could potentially browse to any resource on an intranet, such as Sharepoint or webmail, that is accessible through the browser and which the browser has sufficient permissions. Browser pivoting may also bypass security provided by 2-factor authentication.","['QakBot can use advanced web injects to steal web banking credentials.', 'XLoader can conduct form grabbing, steal cookies, and extract data from HTTP sessions.', 'Agent Tesla has the ability to use form-grabbing to extract data from web data forms.', 'Grandoreiro can monitor browser activity for online banking actions and display full-screen overlay images to block user access to the intended site or present additional data fields.', 'Carberp has captured credentials when a user performs login through a SSL session.', 'Chaes has used the Puppeteer module to hook and monitor the Chrome web browser to collect user information from infected hosts.', 'TRANSLATEXT has the ability to use form-grabbing and event-listening to extract data from web data forms.', 'TrickBot uses web injects and browser redirection to trick the user into providing their login credentials on a fake or modified web page.', 'IcedID has used web injection attacks to redirect victims to spoofed sites designed to harvest banking and other credentials. IcedID can use a self signed TLS certificate in connection with the spoofed site and simultaneously maintains a live connection with the legitimate site to display the correct URL and certificates in the browser.', 'Dridex can perform browser attacks via web injects to steal information such as credentials, certificates, and cookies.', 'Ursnif has injected HTML codes into banking sites to steal sensitive online banking information (ex: usernames and passwords).', 'Kimsuky has the ability to use form-grabbing to extract emails and passwords from web data forms.', ""Cobalt Strike can perform browser pivoting and inject into a user's browser to inherit cookies, authenticated HTTP sessions, and client SSL certificates."", ""Melcoz can monitor the victim's browser for online banking sessions and display an overlay window to manipulate the session in the background.""]"
T1647,Plist File Modification,"Adversaries may modify property list files (plist files) to enable other malicious activity, while also potentially evading and bypassing system defenses. macOS applications use plist files, such as the info.plist file, to store properties and configuration settings that inform the operating system how to handle the application at runtime. Plist files are structured metadata in key-value pairs formatted in XML based on Apple's Core Foundation DTD. Plist files can be saved in text or binary format. Adversaries can modify key-value pairs in plist files to influence system behaviors, such as hiding the execution of an application (i.e. Hidden Window or running additional commands for persistence (ex: Launch Agent/Launch Daemon or Re-opened Applications. For example, adversaries can add a malicious application path to the `~/Library/Preferences/com.apple.dock.plist` file, which controls apps that appear in the Dock. Adversaries can also modify the LSUIElement key in an application’s info.plist file to run the app in the background. Adversaries can also insert key-value pairs to insert environment variables, such as LSEnvironment, to enable persistence via Dynamic Linker Hijacking.","['In older versions, XCSSET uses the plutil command to modify the LSUIElement, DFBundleDisplayName, and CFBundleIdentifier keys in the /Contents/Info.plist file to change how XCSSET is visible on the system. In later versions, XCSSET leverages a third-party notarized `dockutil` tool to modify the `.plist` file responsible for presenting applications to the user in the Dock and LaunchPad to point to a malicious application.', 'Cuckoo Stealer can create and populate property list (plist) files to enable execution.']"
T1119,Automated Collection,"Once established within a system or network, an adversary may use automated techniques for collecting internal data. Methods for performing this technique could include use of a Command and Scripting Interpreter to search for and copy information fitting set criteria such as file type, location, or name at specific time intervals. In cloud-based environments, adversaries may also use cloud APIs, data pipelines, command line interfaces, or extract, transform, and load (ETL) services to automatically collect data. This functionality could also be built into remote access tools. This technique may incorporate use of other techniques such as File and Directory Discovery and Lateral Tool Transfer to identify and move files, as well as Cloud Service Dashboard and Cloud Storage Object Discovery to identify resources in cloud environments.","['Raccoon Stealer collects files and directories from victim systems based on configuration data downloaded from command and control servers.', 'LoFiSe can collect all the files from the working directory every three hours and place them into a password-protected archive for further exfiltration.', 'Proxysvc automatically collects data about the victim and sends it to the control server.', 'menuPass has used the Csvde tool to collect Active Directory files and data.', 'Bankshot recursively generates a list of files within a directory and sends them back to the control server.', 'For all non-removable drives on a victim, USBStealer executes automated collection of certain files for later exfiltration.', 'VERMIN saves each collected file with the automatically generated format {0:dd-MM-yyyy}.txt .', 'Attor has automatically collected data about the compromised system.', 'Mustang Panda used custom batch scripts to collect files automatically from a targeted system.', 'During Operation Wocao, threat actors used a script to collect information about the infected system.', 'Pacu can automatically collect data, such as CloudFormation templates, EC2 user data, AWS Inspector reports, and IAM credential reports.', 'Chimera has used custom DLLs for continuous retrieval of data from memory.', 'Rover automatically collects files from the local system and removable drives based on a predefined list of file extensions on a regular timeframe.', 'Patchwork developed a file stealer to search C:\\ and collect files with certain extensions. Patchwork also executed a script to enumerate all drives, store them as a list, and upload generated files to the C2 server.', 'Crutch can automatically monitor removable drives in a loop and copy interesting files.', 'During Frankenstein, the threat actors used Empire to automatically gather the username, domain name, machine name, and other system information.', 'Valak can download a module to search for and build a report of harvested credential data.', 'Zebrocy scans the system and automatically collects files with the following extensions: .doc, .docx, ,.xls, .xlsx, .pdf, .pptx, .rar, .zip, .jpg, .jpeg, .bmp, .tiff, .kum, .tlg, .sbx, .cr, .hse, .hsf, and .lhz.', 'Mythic supports scripting of file downloads from agents.', 'StrongPity has a file searcher component that can automatically collect and archive files based on a predefined list of file extensions.', 'APT1 used a batch script to perform a series of discovery techniques and saves it to a text file.', 'InvisiMole can sort and collect specific documents as well as generate a list of all files on a newly inserted drive and store them in an encrypted file.', 'FunnyDream can monitor files for changes and automatically collect them.', 'ShimRatReporter gathered information automatically, without instruction from a C2, related to the user and host machine that is compiled into a report and sent to the operators.', 'Metamorfo has automatically collected mouse clicks, continuous screenshots on the machine, and set timers to collect the contents of the clipboard and website browsing.', 'Micropsia executes an RAR tool to recursively archive files based on a predefined list of file extensions (*.xls, *.xlsx, *.csv, *.odt, *.doc, *.docx, *.ppt, *.pptx, *.pdf, *.mdb, *.accdb, *.accde, *.txt).', 'BADNEWS monitors USB devices and copies files with certain extensions to a predefined directory.', ""PACEMAKER can enter a loop to read `/proc/` entries every 2 seconds in order to read a target application's memory."", 'Sidewinder has used tools to automatically collect system and network configuration information.', 'Empire can automatically gather the username, domain name, machine name, and other information from a compromised system.', 'Ke3chang has performed frequent and scheduled data collection from victim networks.', 'ArcaneDoor included collection of packet capture and system configuration information.', 'Ember Bear engages in mass collection from compromised systems during intrusions.', 'Depending on the Linux distribution, RotaJakiro executes a set of commands to collect device information and sends the collected information to the C2 server.', 'GoldFinder logged and stored information related to the route or hops a packet took from a compromised machine to a hardcoded C2 server, including the target C2 URL, HTTP response/status code, HTTP response headers and values, and data received from the C2 node.', 'ROADTools automatically gathers data from Azure AD environments using the Azure Graph API.', 'WindTail can identify and add files that possess specific file extensions to an array for archiving.', 'Ramsay can conduct an initial scan for Microsoft Word documents on the local system, removable media, and connected network drives, before tagging and collecting them. It can continue tagging documents to collect with follow up scans.', 'PoetRAT used file system monitoring to track modification and enable automatic exfiltration.', 'NPPSPY collection is automatically recorded to a specified file on the victim machine.', 'NETWIRE can automatically archive collected data.', 'A Helminth VBScript receives a batch script to execute a set of commands in a command prompt.', 'LightNeuron can be configured to automatically collect files under a specified directory.', ""Tropic Trooper has collected information automatically using the adversary's USBferry attack."", 'APT41 DUST used tools such as SQLULDR2 and PINEGROVE to gather local system and database information.', 'HAFNIUM has used MSGraph to exfiltrate data from email, OneDrive, and SharePoint.', 'OutSteel can automatically scan for and collect files with specific extensions.', 'Comnie executes a batch script to store discovery information in %TEMP%\\info.dat and then uploads the temporarily file to the remote C2 server.', 'DarkGate searches for stored credentials associated with cryptocurrency wallets and notifies the command and control server when identified.', 'FIN6 has used a script to iterate through a list of compromised PoS systems, copy and remove data to a log file, and to bind to events from the submit payment button.', 'AppleSeed has automatically collected data from USB drives, keystrokes, and screen images before exfiltration.', 'PoshC2 contains a module for recursively parsing through files and directories to gather valid credit card numbers.', 'Confucius has used a file stealer to steal documents and images with the following extensions: txt, pdf, png, jpg, doc, xls, xlm, odp, ods, odt, rtf, ppt, xlsx, xlsm, docx, pptx, and jpeg.', 'OilRig has used automated collection.', 'RTM monitors browsing activity and automatically captures screenshots if a victim browses to a URL matching one of a list of strings.', 'MESSAGETAP checks two files, keyword_parm.txt and parm.txt, for instructions on how to target and save data parsed and extracted from SMS message data from the network traffic. If an SMS message contained either a phone number, IMSI number, or keyword that matched the predefined list, it is saved to a CSV file for later theft by the threat actor.', 'Gamaredon Group has deployed scripts on compromised systems that automatically scan for interesting documents.', 'T9000 searches removable storage devices for files with a pre-defined list of file extensions (e.g. * .doc, *.ppt, *.xls, *.docx, *.pptx, *.xlsx). Any matching files are encrypted and written to a local user directory.', 'TajMahal has the ability to index and compress files into a send queue for exfiltration.', 'Agrius used a custom tool, sql.net4.exe, to query SQL databases and then identify and extract personally identifiable information.', 'StrelaStealer attempts to identify and collect mail login data from Thunderbird and Outlook following execution.', 'ccf32 can be used to automatically collect files from a compromised host.', 'RedCurl has used batch scripts to collect data.', 'Lumma Stealer has automated collection of various information including cryptocurrency wallet details.']"
T1037,Boot or Logon Initialization Scripts,"Adversaries may use scripts automatically executed at boot or logon initialization to establish persistence. Initialization scripts can be used to perform administrative functions, which may often execute other programs or send information to an internal logging server. These scripts can vary based on operating system and whether applied locally or remotely. Adversaries may use these scripts to maintain persistence on a single system. Depending on the access configuration of the logon scripts, either local credentials or an administrator account may be necessary. An adversary may also be able to escalate their privileges since some boot or logon initialization scripts run with higher privileges.","['ArcaneDoor used malicious boot scripts to install the Line Runner backdoor on victim devices.', 'Rocke has installed an ""init.d"" startup script to maintain persistence.', 'Depending on the Linux distribution and when executing with root permissions, RotaJakiro may install persistence using a `.conf` file in the `/etc/init/` folder.', 'APT29 has hijacked legitimate application-specific startup scripts to enable malware to execute on system startup.', 'APT41 used a hidden shell script in `/etc/rc.d/init.d` to leverage the `ADORE.XSEC`backdoor and `Adore-NG` rootkit.']"
T1199,Trusted Relationship,"Adversaries may breach or otherwise leverage organizations who have access to intended victims. Access through trusted third party relationship abuses an existing connection that may not be protected or receives less scrutiny than standard mechanisms of gaining access to a network. Organizations often grant elevated access to second or third-party external providers in order to allow them to manage internal systems as well as cloud-based environments. Some examples of these relationships include IT services contractors, managed security providers, infrastructure contractors (e.g. HVAC, elevators, physical security). The third-party provider's access may be intended to be limited to the infrastructure being maintained, but may exist on the same network as the rest of the enterprise. As such, Valid Accounts used by the other party for access to internal network systems may be compromised and used. In Office 365 environments, organizations may grant Microsoft partners or resellers delegated administrator permissions. By compromising a partner or reseller account, an adversary may be able to leverage existing delegated administrator relationships or send new delegated administrator offers to clients in order to gain administrative control over the victim tenant.","['Once APT28 gained access to the DCCC network, the group then proceeded to use that access to compromise the DNC network.', 'Sandworm Team has used dedicated network connections from one victim organization to gain unauthorized access to a separate organization. Additionally, Sandworm Team has accessed Internet service providers and telecommunication entities that provide mobile connectivity.', 'APT29 has compromised IT, cloud services, and managed services providers to gain broad access to multiple customers for subsequent operations.', 'Sea Turtle targeted third-party entities in trusted relationships with primary targets to ultimately achieve access at primary targets. Entities targeted included DNS registrars, telecommunication companies, and internet service providers.', ""GOLD SOUTHFIELD has breached Managed Service Providers (MSP's) to deliver malware to MSP customers."", 'menuPass has used legitimate access granted to Managed Service Providers in order to access victims of interest.', 'HAFNIUM has used stolen API keys and credentials associatd with privilege access management (PAM), cloud app providers, and cloud data management companies to access downstream customer environments.', 'During the SolarWinds Compromise, APT29 gained access through compromised accounts at cloud solution partners, and used compromised certificates issued by Mimecast to authenticate to Mimecast customer systems.', 'POLONIUM has used compromised credentials from an IT company to target downstream customers including a law firm and aviation company.', 'LAPSUS$ has accessed internet-facing identity providers such as Azure Active Directory and Okta to target specific organizations.', ""Threat Group-3390 has compromised third party service providers to gain access to victim's environments."", 'RedCurl has gained access to a contractor to pivot to the victim’s infrastructure.']"
T1537,Transfer Data to Cloud Account,"Adversaries may exfiltrate data by transferring the data, including through sharing/syncing and creating backups of cloud environments, to another cloud account they control on the same service. A defender who is monitoring for large transfers to outside the cloud environment through normal file transfers or over command and control channels may not be watching for data transfers to another account within the same cloud provider. Such transfers may utilize existing cloud provider APIs and the internal address space of the cloud provider to blend into normal traffic or avoid data transfers over external network interfaces. Adversaries may also use cloud-native mechanisms to share victim data with adversary-controlled cloud accounts, such as creating anonymous file sharing links or, in Azure, a shared access signature (SAS) URI. Incidents have been observed where adversaries have created backups of cloud instances and transferred them to separate accounts.","['RedCurl has used cloud storage to exfiltrate data, in particular the megatools utilities were used to exfiltrate data to Mega, a file storage service.', 'INC Ransom has used Megasync to exfiltrate data to the cloud.']"
