tech_id,sentence
T1673,The script ran 'esxcli network vm list' to identify virtual machines with active network connections.
T1673,"By executing 'vim-cmd hostsvc/runtimeinfo', the malware collected runtime information about the host and its virtual machines."
T1673,"By executing 'esxcli software vib list', the malware gathered information about installed VIBs and their associated VMs."
T1673,The script utilized 'esxcli software vib list' as part of virtual machine enumeration to identify installed components.
T1673,"By executing 'esxcli storage vmfs extent list', the malware identified virtual machines based on their storage locations."
T1597,The attacker purchased access to a private intelligence feed containing information about the target's security policies.
T1597,The adversary collected organizational intelligence from a paid dark web monitoring service.
T1212,"Using the MS14-068 vulnerability, the threat actor created forged Kerberos TGT tickets."
T1212,The adversary used MS14-068 to create forged Kerberos tickets and impersonate domain administrators.
T1212,The attack chain involved exploiting MS14-068 to forge Kerberos tickets with arbitrary group membership.
T1212,"The adversary leveraged MS14-068 to create forged Kerberos tickets, enabling credential theft across the network."
T1212,"Using the MS14-068 vulnerability, the threat actor created forged Kerberos TGT tickets."
T1212,The threat actor exploited MS14-068 to forge Kerberos tickets and move laterally across the network.
T1212,"By exploiting MS14-068, the attacker forged Kerberos tickets to collect authentication credentials from domain controllers."
T1671,The threat actor used an existing OAuth application to maintain persistent access to the victim's email account.
T1671,The attacker created a malicious OAuth application to maintain persistent access to the victim's cloud resources.
T1671,The malware used a custom OAuth application to maintain persistent access to calendar and contact data.
T1671,Malicious actors leveraged an existing OAuth application to maintain persistence in the compromised email system.
T1580,The adversary queried the DescribeInstances API to identify running virtual machines in the cloud environment.
T1580,"Through the AWS SDK, the attacker used ListBuckets to identify potential data exfiltration targets."
T1580,"Through the ListBuckets API, the threat actor mapped all accessible cloud storage resources."
T1612,A threat actor wrote a Dockerfile that secretly installed keylogging software in the container image.
T1612,The malware wrote a Dockerfile that configured the container to communicate with a command and control server.
T1612,The threat actor exploited the Docker engine API to launch a container that concealed fileless malware execution.
T1612,The malware wrote a Dockerfile that copied encrypted payloads into the container filesystem.
T1612,A threat actor wrote a Dockerfile that included cryptocurrency mining software in the container image.
T1542,A threat actor implanted a backdoor in the system's BIOS to ensure persistence even after disk formatting.
T1542,The malware altered the BIOS to include a hidden partition that loads malicious code during system startup.
T1542,"Malicious code was embedded in the UEFI firmware, ensuring persistence that survives operating system reinstallation."
T1542,The attacker modified the BIOS firmware to establish persistence before the operating system loads.
T1675,"Through the StartProgramInGuest function, the attacker executed a malicious payload on the virtual machine."
T1675,The malware abused the vSphere Web Services SDK to execute a persistence mechanism on the guest operating system.
T1675,The threat actor leveraged vSphere Web Services SDK to remotely execute commands on guest operating systems.
T1675,The malicious actor utilized vSphere Web Services SDK to execute arbitrary commands on compromised guest VMs.
