tech_id,sentence
T1213,The attacker queried SharePoint to extract confidential financial reports.
T1213,Malicious scripts were used to query Confluence for API credentials stored in documentation.
T1213,The adversary executed PowerShell commands to query SharePoint for employee personal information.
T1213,The malware programmatically queried SharePoint document libraries to collect proprietary research data.
T1213,The attacker queried SharePoint to collect sensitive project documentation.
T1213,Malware was configured to query Confluence for internal API credentials stored in team spaces.
T1213,The threat actor used PowerShell scripts to query SharePoint lists containing financial data.
T1213,The adversary queried SharePoint document libraries to exfiltrate confidential business plans.
T1213,The attacker queried SharePoint to collect sensitive project documentation.
T1213,Malicious scripts were used to query Confluence for internal API credentials.
T1213,The threat actor executed PowerShell commands to query SharePoint for financial reports.
T1213,The malware contained functionality to query SharePoint lists for employee personally identifiable information.
T1213,The attacker queried SharePoint to collect sensitive project documentation.
T1213,The adversary executed PowerShell commands to query SharePoint for financial reports.
T1213,The malware programmatically queried SharePoint lists to extract customer contact information.
T1213,The attacker queried SharePoint for documents containing 'confidential' in the filename.
T1213,Malicious scripts were used to query Confluence spaces for technical documentation and API keys.
T1213,The adversary executed PowerShell commands to query SharePoint lists containing financial reports.
T1213,The malware programmatically queried SharePoint document libraries to locate and exfiltrate sensitive project files.
T1213,The attacker queried SharePoint for documents containing 'confidential' in the filename.
T1213,Malicious scripts were used to query Confluence pages containing API keys and credentials.
T1213,The adversary executed PowerShell commands to search SharePoint for financial reports and budget documents.
T1213,The malware programmatically queried SharePoint lists to extract employee contact information and organizational charts.
T1213,The attacker queried the SharePoint repository to collect sensitive project documentation.
T1213,Malicious scripts were used to query Confluence pages containing confidential API keys.
T1213,The threat actor executed automated queries against the SharePoint site to extract financial reports.
T1213,The malware performed targeted queries against SharePoint document libraries to harvest employee personal data.
T1213,The attacker queried SharePoint repositories to locate and download confidential financial documents.
T1213,Malicious scripts were used to query Confluence spaces for sensitive project documentation and intellectual property.
T1213,The threat actor executed automated queries against the company's SharePoint site to collect employee personally identifiable information.
T1213,The malware systematically queried SharePoint document libraries to identify and exfiltrate proprietary research data.
T1213,The attacker queried SharePoint for documents containing 'confidential' in the filename.
T1213,The threat actor used PowerShell to query SharePoint for files modified in the last 30 days.
T1213,A compromised account was used to query Confluence spaces for technical documentation and API keys.
T1213,The adversary executed queries against SharePoint to locate financial reports and budget spreadsheets.
